GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median year structure built,Margin of Error; Median year structure built
1500000US380170008014,380170008014,"Block Group 4, Census Tract 8.01, Cass County, North Dakota",1945,15
1500000US380170008021,380170008021,"Block Group 1, Census Tract 8.02, Cass County, North Dakota",1939,***
1500000US380170008022,380170008022,"Block Group 2, Census Tract 8.02, Cass County, North Dakota",1939,***
1500000US380170008023,380170008023,"Block Group 3, Census Tract 8.02, Cass County, North Dakota",1942,5
1500000US380170008024,380170008024,"Block Group 4, Census Tract 8.02, Cass County, North Dakota",1959,18
1500000US380170008025,380170008025,"Block Group 5, Census Tract 8.02, Cass County, North Dakota",1969,11
1500000US380170009011,380170009011,"Block Group 1, Census Tract 9.01, Cass County, North Dakota",1939,***
1500000US380170009012,380170009012,"Block Group 2, Census Tract 9.01, Cass County, North Dakota",1951,3
1500000US380170009013,380170009013,"Block Group 3, Census Tract 9.01, Cass County, North Dakota",1958,3
1500000US380170009014,380170009014,"Block Group 4, Census Tract 9.01, Cass County, North Dakota",1959,4
1500000US380170009015,380170009015,"Block Group 5, Census Tract 9.01, Cass County, North Dakota",1956,2
1500000US380170009031,380170009031,"Block Group 1, Census Tract 9.03, Cass County, North Dakota",1985,6
1500000US380170009032,380170009032,"Block Group 2, Census Tract 9.03, Cass County, North Dakota",1981,4
1500000US380170009033,380170009033,"Block Group 3, Census Tract 9.03, Cass County, North Dakota",1985,2
1500000US380170009041,380170009041,"Block Group 1, Census Tract 9.04, Cass County, North Dakota",1971,4
1500000US380170009042,380170009042,"Block Group 2, Census Tract 9.04, Cass County, North Dakota",1982,3
1500000US380170009043,380170009043,"Block Group 3, Census Tract 9.04, Cass County, North Dakota",1977,2
1500000US380170010011,380170010011,"Block Group 1, Census Tract 10.01, Cass County, North Dakota",1984,6
1500000US380170010012,380170010012,"Block Group 2, Census Tract 10.01, Cass County, North Dakota",1983,2
1500000US380170010013,380170010013,"Block Group 3, Census Tract 10.01, Cass County, North Dakota",1987,3
1500000US380170010021,380170010021,"Block Group 1, Census Tract 10.02, Cass County, North Dakota",1975,2
1500000US380170010022,380170010022,"Block Group 2, Census Tract 10.02, Cass County, North Dakota",1967,1
1500000US380170101061,380170101061,"Block Group 1, Census Tract 101.06, Cass County, North Dakota",1994,2
1500000US380170101062,380170101062,"Block Group 2, Census Tract 101.06, Cass County, North Dakota",1992,2
1500000US380170101071,380170101071,"Block Group 1, Census Tract 101.07, Cass County, North Dakota",1992,4
1500000US380170101072,380170101072,"Block Group 2, Census Tract 101.07, Cass County, North Dakota",1986,2
1500000US380170101081,380170101081,"Block Group 1, Census Tract 101.08, Cass County, North Dakota",1998,3
1500000US380170101082,380170101082,"Block Group 2, Census Tract 101.08, Cass County, North Dakota",1995,2
1500000US380170101091,380170101091,"Block Group 1, Census Tract 101.09, Cass County, North Dakota",1989,5
1500000US380170101092,380170101092,"Block Group 2, Census Tract 101.09, Cass County, North Dakota",1995,3
1500000US380170102011,380170102011,"Block Group 1, Census Tract 102.01, Cass County, North Dakota",1975,6
1500000US380170102012,380170102012,"Block Group 2, Census Tract 102.01, Cass County, North Dakota",1996,3
1500000US380170102013,380170102013,"Block Group 3, Census Tract 102.01, Cass County, North Dakota",1966,4
1500000US380170102031,380170102031,"Block Group 1, Census Tract 102.03, Cass County, North Dakota",1975,2
1500000US380170102032,380170102032,"Block Group 2, Census Tract 102.03, Cass County, North Dakota",1974,2
1500000US380170102033,380170102033,"Block Group 3, Census Tract 102.03, Cass County, North Dakota",1954,4
1500000US380170102041,380170102041,"Block Group 1, Census Tract 102.04, Cass County, North Dakota",1969,4
1500000US380170102042,380170102042,"Block Group 2, Census Tract 102.04, Cass County, North Dakota",2001,2
1500000US380170103031,380170103031,"Block Group 1, Census Tract 103.03, Cass County, North Dakota",1995,2
1500000US380170103032,380170103032,"Block Group 2, Census Tract 103.03, Cass County, North Dakota",1997,2
1500000US380170103033,380170103033,"Block Group 3, Census Tract 103.03, Cass County, North Dakota",1996,2
1500000US380170103034,380170103034,"Block Group 4, Census Tract 103.03, Cass County, North Dakota",1996,2
1500000US380170103051,380170103051,"Block Group 1, Census Tract 103.05, Cass County, North Dakota",1999,2
1500000US380170103052,380170103052,"Block Group 2, Census Tract 103.05, Cass County, North Dakota",1992,3
1500000US380170103061,380170103061,"Block Group 1, Census Tract 103.06, Cass County, North Dakota",1990,3
1500000US380170103062,380170103062,"Block Group 2, Census Tract 103.06, Cass County, North Dakota",1990,3
1500000US380170103071,380170103071,"Block Group 1, Census Tract 103.07, Cass County, North Dakota",1993,2
1500000US380170401001,380170401001,"Block Group 1, Census Tract 401, Cass County, North Dakota",1955,10
1500000US380170401002,380170401002,"Block Group 2, Census Tract 401, Cass County, North Dakota",1964,4
1500000US380170401003,380170401003,"Block Group 3, Census Tract 401, Cass County, North Dakota",1968,10
1500000US380170402001,380170402001,"Block Group 1, Census Tract 402, Cass County, North Dakota",1974,6
1500000US380170402002,380170402002,"Block Group 2, Census Tract 402, Cass County, North Dakota",1952,5
1500000US380170403001,380170403001,"Block Group 1, Census Tract 403, Cass County, North Dakota",1974,8
1500000US380170403002,380170403002,"Block Group 2, Census Tract 403, Cass County, North Dakota",1974,3
1500000US380170403003,380170403003,"Block Group 3, Census Tract 403, Cass County, North Dakota",1973,8
1500000US380170404001,380170404001,"Block Group 1, Census Tract 404, Cass County, North Dakota",1983,4
1500000US380170404002,380170404002,"Block Group 2, Census Tract 404, Cass County, North Dakota",1976,2
1500000US380170404003,380170404003,"Block Group 3, Census Tract 404, Cass County, North Dakota",1988,9
